group,workload,order,launch,mode,version,started,budgetMs,case,parameter
paired-final,worker-allocation-boundaries-allocation-partitions-serial-1-8193,10,5,compiled,candidate,2026-09-04T22:40:38.0890327-07:00,300,allocation-partitions-serial-1,8193
paired-final,worker-allocation-boundaries-allocation-partitions-serial-4-8192,1,1,compiled,baseline,2026-09-04T22:40:38.9660866-07:00,300,allocation-partitions-serial-4,8192
paired-final,worker-allocation-boundaries-allocation-partitions-serial-4-8192,2,1,compiled,candidate,2026-09-04T22:40:40.0822154-07:00,300,allocation-partitions-serial-4,8192
paired-final,worker-allocation-boundaries-allocation-partitions-serial-4-8192,3,2,compiled,candidate,2026-09-04T22:40:41.0133168-07:00,300,allocation-partitions-serial-4,8192
paired-final,worker-allocation-boundaries-allocation-partitions-serial-4-8192,4,2,compiled,baseline,2026-09-04T22:40:41.8946901-07:00,300,allocation-partitions-serial-4,8192
paired-final,worker-allocation-boundaries-allocation-partitions-serial-4-8192,5,3,compiled,baseline,2026-09-04T22:40:42.9660241-07:00,300,allocation-partitions-serial-4,8192
paired-final,worker-allocation-boundaries-allocation-partitions-serial-4-8192,6,3,compiled,candidate,2026-09-04T22:40:44.0355988-07:00,300,allocation-partitions-serial-4,8192
paired-final,worker-allocation-boundaries-allocation-partitions-serial-4-8192,7,4,compiled,candidate,2026-09-04T22:40:44.9095622-07:00,300,allocation-partitions-serial-4,8192
paired-final,worker-allocation-boundaries-allocation-partitions-serial-4-8192,8,4,compiled,baseline,2026-09-04T22:40:45.7777232-07:00,300,allocation-partitions-serial-4,8192
paired-final,worker-allocation-boundaries-allocation-partitions-serial-4-8192,9,5,compiled,baseline,2026-09-04T22:40:46.8443557-07:00,300,allocation-partitions-serial-4,8192
paired-final,worker-allocation-boundaries-allocation-partitions-serial-4-8192,10,5,compiled,candidate,2026-09-04T22:40:47.9019091-07:00,300,allocation-partitions-serial-4,8192
paired-final,worker-allocation-boundaries-allocation-partitions-serial-4-8193,1,1,compiled,baseline,2026-09-04T22:40:48.8104743-07:00,300,allocation-partitions-serial-4,8193
paired-final,worker-allocation-boundaries-allocation-partitions-serial-4-8193,2,1,compiled,candidate,2026-09-04T22:40:49.9845516-07:00,300,allocation-partitions-serial-4,8193
paired-final,worker-allocation-boundaries-allocation-partitions-serial-4-8193,3,2,compiled,candidate,2026-09-04T22:40:50.8735000-07:00,300,allocation-partitions-serial-4,8193
paired-final,worker-allocation-boundaries-allocation-partitions-serial-4-8193,4,2,compiled,baseline,2026-09-04T22:40:51.7657667-07:00,300,allocation-partitions-serial-4,8193
paired-final,worker-allocation-boundaries-allocation-partitions-serial-4-8193,5,3,compiled,baseline,2026-09-04T22:40:52.8731873-07:00,300,allocation-partitions-serial-4,8193
paired-final,worker-allocation-boundaries-allocation-partitions-serial-4-8193,6,3,compiled,candidate,2026-09-04T22:40:54.0985501-07:00,300,allocation-partitions-serial-4,8193
paired-final,worker-allocation-boundaries-allocation-partitions-serial-4-8193,7,4,compiled,candidate,2026-09-04T22:40:54.9848654-07:00,300,allocation-partitions-serial-4,8193
paired-final,worker-allocation-boundaries-allocation-partitions-serial-4-8193,8,4,compiled,baseline,2026-09-04T22:40:55.8647237-07:00,300,allocation-partitions-serial-4,8193
paired-final,worker-allocation-boundaries-allocation-partitions-serial-4-8193,9,5,compiled,baseline,2026-09-04T22:40:57.0071321-07:00,300,allocation-partitions-serial-4,8193
paired-final,worker-allocation-boundaries-allocation-partitions-serial-4-8193,10,5,compiled,candidate,2026-09-04T22:40:58.1482902-07:00,300,allocation-partitions-serial-4,8193
paired-final,worker-allocation-scaling,1,1,compiled,baseline,2026-09-04T22:37:55.0822426-07:00,1000,,
paired-final,worker-allocation-scaling,2,1,compiled,candidate,2026-09-04T22:38:10.0876383-07:00,1000,,
paired-final,worker-allocation-scaling,3,2,compiled,candidate,2026-09-04T22:38:24.7902922-07:00,1000,,
paired-final,worker-allocation-scaling,4,2,compiled,baseline,2026-09-04T22:38:39.3945534-07:00,1000,,
paired-final,worker-allocation-scaling,5,3,compiled,baseline,2026-09-04T22:38:54.3666629-07:00,1000,,
paired-final,worker-allocation-scaling,6,3,compiled,candidate,2026-09-04T22:39:09.3264548-07:00,1000,,
paired-final,worker-allocation-scaling,7,4,compiled,candidate,2026-09-04T22:39:23.9340000-07:00,1000,,
paired-final,worker-allocation-scaling,8,4,compiled,baseline,2026-09-04T22:39:38.5548169-07:00,1000,,
paired-final,worker-allocation-scaling,9,5,compiled,baseline,2026-09-04T22:39:53.5410314-07:00,1000,,
paired-final,worker-allocation-scaling,10,5,compiled,candidate,2026-09-04T22:40:08.5104499-07:00,1000,,
paired-final,worker-lifecycle--1,1,1,compiled,baseline,2026-09-04T22:43:05.6075694-07:00,300,,1
paired-final,worker-lifecycle--1,2,1,compiled,candidate,2026-09-04T22:43:13.6364574-07:00,300,,1
paired-final,worker-lifecycle--1,3,1,interpreter,baseline,2026-09-04T22:43:21.7627370-07:00,300,,1
paired-final,worker-lifecycle--1,4,1,interpreter,candidate,2026-09-04T22:43:23.9855950-07:00,300,,1
paired-final,worker-lifecycle--1,5,2,interpreter,candidate,2026-09-04T22:43:26.2154805-07:00,300,,1
paired-final,worker-lifecycle--1,6,2,interpreter,baseline,2026-09-04T22:43:28.4969112-07:00,300,,1
paired-final,worker-lifecycle--1,7,2,compiled,candidate,2026-09-04T22:43:30.7179738-07:00,300,,1
paired-final,worker-lifecycle--1,8,2,compiled,baseline,2026-09-04T22:43:38.7975057-07:00,300,,1
paired-final,worker-lifecycle--1,9,3,compiled,baseline,2026-09-04T22:43:46.6196730-07:00,300,,1
paired-final,worker-lifecycle--1,10,3,compiled,candidate,2026-09-04T22:43:54.6718012-07:00,300,,1
paired-final,worker-lifecycle--1,11,3,interpreter,baseline,2026-09-04T22:44:02.4192350-07:00,300,,1
paired-final,worker-lifecycle--1,12,3,interpreter,candidate,2026-09-04T22:44:04.6225999-07:00,300,,1
paired-final,worker-lifecycle--1,13,4,interpreter,candidate,2026-09-04T22:44:06.8584404-07:00,300,,1
paired-final,worker-lifecycle--1,14,4,interpreter,baseline,2026-09-04T22:44:09.0324367-07:00,300,,1
paired-final,worker-lifecycle--1,15,4,compiled,candidate,2026-09-04T22:44:11.2632966-07:00,300,,1
paired-final,worker-lifecycle--1,16,4,compiled,baseline,2026-09-04T22:44:19.3382688-07:00,300,,1
