platform,workload,mode,version,launch,name,param,meanMs,minMs,stdevMs,samples,inner,sampledMs
windows,worker-allocation-scaling,interpreter,candidate,5,worker-allocation-direct,20000,143.9670125,107.9878,30.2578385,8,1,1151.7361
windows,worker-allocation-scaling,interpreter,candidate,5,worker-allocation-fixed-work,1,151.93655,124.3113,25.6265071,8,1,1215.4924
windows,worker-allocation-scaling,interpreter,candidate,5,worker-allocation-fixed-work,2,126.9532125,94.7569,38.137263,8,1,1015.6257
windows,worker-allocation-scaling,interpreter,candidate,5,worker-allocation-fixed-work,4,104.61984,63.6827,23.9148382,10,1,1046.1984
windows,worker-allocation-scaling,node,control,1,worker-allocation-direct,20000,0.9748033,0.55785,0.3877565,514,2,1002.0978
windows,worker-allocation-scaling,node,control,1,worker-allocation-fixed-work,1,0.7402437,0.6132,0.1316208,676,2,1000.8095
windows,worker-allocation-scaling,node,control,1,worker-allocation-fixed-work,2,0.711033,0.35285,0.2720204,704,2,1001.1345
windows,worker-allocation-scaling,node,control,1,worker-allocation-fixed-work,4,0.6318024,0.3016,0.1723639,792,2,1000.775
windows,worker-allocation-scaling,node,control,2,worker-allocation-direct,20000,1.1139209,0.55855,0.5738707,449,2,1000.301
windows,worker-allocation-scaling,node,control,2,worker-allocation-fixed-work,1,0.746795,0.34845,0.5379885,670,2,1000.7053
windows,worker-allocation-scaling,node,control,2,worker-allocation-fixed-work,2,0.7004256,0.30605,0.5475145,714,2,1000.2077
windows,worker-allocation-scaling,node,control,2,worker-allocation-fixed-work,4,0.7997322,0.2179,0.7261282,1251,1,1000.465
windows,worker-allocation-scaling,node,control,3,worker-allocation-direct,20000,1.0166098,0.5503,0.4261124,492,2,1000.344
windows,worker-allocation-scaling,node,control,3,worker-allocation-fixed-work,1,0.6898963,0.34785,0.4667311,726,2,1001.7294
windows,worker-allocation-scaling,node,control,3,worker-allocation-fixed-work,2,0.6523278,0.3297,0.2410942,767,2,1000.6709
windows,worker-allocation-scaling,node,control,3,worker-allocation-fixed-work,4,0.689716,0.29295,0.3330904,725,2,1000.0882
windows,worker-allocation-scaling,node,control,4,worker-allocation-direct,20000,1.0848829,0.5508,0.4998165,461,2,1000.262
windows,worker-allocation-scaling,node,control,4,worker-allocation-fixed-work,1,1.0165504,0.6025,0.6570354,493,2,1002.3187
windows,worker-allocation-scaling,node,control,4,worker-allocation-fixed-work,2,0.7290929,0.28985,0.6533267,686,2,1000.3154
windows,worker-allocation-scaling,node,control,4,worker-allocation-fixed-work,4,0.9423829,0.2225,1.714518,271,4,1021.5431
windows,worker-allocation-scaling,node,control,5,worker-allocation-direct,20000,1.0200182,0.55805,0.4280913,491,2,1001.6579
windows,worker-allocation-scaling,node,control,5,worker-allocation-fixed-work,1,0.7615344,0.59965,0.5219391,657,2,1000.6562
windows,worker-allocation-scaling,node,control,5,worker-allocation-fixed-work,2,0.638588,0.279,0.1849766,783,2,1000.0288
windows,worker-allocation-scaling,node,control,5,worker-allocation-fixed-work,4,0.7106996,0.355125,0.2592747,352,4,1000.665
windows,worker-message-latency,compiled,baseline,1,worker-message-roundtrip,1,14.7682357,0.3337,10.3990222,70,1,1033.7765
windows,worker-message-latency,compiled,baseline,1,worker-message-roundtrip,2,12.2556049,0.07245,13.9749246,41,2,1004.9596
windows,worker-message-latency,compiled,baseline,1,worker-message-roundtrip,4,18.9122189,0.1221,19.6869445,53,1,1002.3476
windows,worker-message-latency,compiled,baseline,2,worker-message-roundtrip,1,12.7749392,0.0994,7.0539241,79,1,1009.2202
windows,worker-message-latency,compiled,baseline,2,worker-message-roundtrip,2,16.7490082,0.0711,10.2573712,61,1,1021.6895
windows,worker-message-latency,compiled,baseline,2,worker-message-roundtrip,4,14.5866085,0.1162,12.0292392,71,1,1035.6492
windows,worker-message-latency,compiled,baseline,3,worker-message-roundtrip,1,14.8598559,0.15,16.5980686,68,1,1010.4702
windows,worker-message-latency,compiled,baseline,3,worker-message-roundtrip,2,3.0809951,0.061,6.1918192,164,2,1010.5664
windows,worker-message-latency,compiled,baseline,3,worker-message-roundtrip,4,10.3126711,0.0578,20.5087893,97,1,1000.3291
windows,worker-message-latency,compiled,baseline,4,worker-message-roundtrip,1,16.9151233,0.1284,10.4820814,60,1,1014.9074
windows,worker-message-latency,compiled,baseline,4,worker-message-roundtrip,2,7.9180336,0.0265,8.6956513,128,1,1013.5083
windows,worker-message-latency,compiled,baseline,4,worker-message-roundtrip,4,11.5520851,0.081,5.8571735,87,1,1005.0314
windows,worker-message-latency,compiled,baseline,5,worker-message-roundtrip,1,15.6452797,0.1074,19.667188,64,1,1001.2979
windows,worker-message-latency,compiled,baseline,5,worker-message-roundtrip,2,5.9800091,0.0448625,5.9610315,22,8,1052.4816
windows,worker-message-latency,compiled,baseline,5,worker-message-roundtrip,4,13.9571083,0.1201,4.7791922,72,1,1004.9118
windows,worker-message-latency,compiled,candidate,1,worker-message-roundtrip,1,12.8513231,0.1189,9.7547154,78,1,1002.4032
windows,worker-message-latency,compiled,candidate,1,worker-message-roundtrip,2,10.098799,0.079,16.3560819,103,1,1040.1763
windows,worker-message-latency,compiled,candidate,1,worker-message-roundtrip,4,18.0278589,0.0657,17.2299204,56,1,1009.5601
windows,worker-message-latency,compiled,candidate,2,worker-message-roundtrip,1,13.3402053,0.0857,11.251004,76,1,1013.8556
windows,worker-message-latency,compiled,candidate,2,worker-message-roundtrip,2,4.8944785,0.0287,9.2820815,205,1,1003.3681
windows,worker-message-latency,compiled,candidate,2,worker-message-roundtrip,4,11.0180096,0.1754,8.7901102,94,1,1035.6929
windows,worker-message-latency,compiled,candidate,3,worker-message-roundtrip,1,13.5455227,0.0763,9.2843239,75,1,1015.9142
windows,worker-message-latency,compiled,candidate,3,worker-message-roundtrip,2,5.3551,0.0615,7.0698986,188,1,1006.7588
windows,worker-message-latency,compiled,candidate,3,worker-message-roundtrip,4,10.9602022,0.0884,9.3193683,92,1,1008.3386
windows,worker-message-latency,compiled,candidate,4,worker-message-roundtrip,1,11.9093465,0.0895,9.1747896,86,1,1024.2038
windows,worker-message-latency,compiled,candidate,4,worker-message-roundtrip,2,4.157277,0.059,6.8526701,243,1,1010.2183
windows,worker-message-latency,compiled,candidate,4,worker-message-roundtrip,4,14.2653183,0.0765,11.3436624,71,1,1012.8376
windows,worker-message-latency,compiled,candidate,5,worker-message-roundtrip,1,6.7633128,0.0972,11.5261912,148,1,1000.9703
windows,worker-message-latency,compiled,candidate,5,worker-message-roundtrip,2,3.136625,0.0319,4.5676371,320,1,1003.72
windows,worker-message-latency,compiled,candidate,5,worker-message-roundtrip,4,3.5974353,0.0766,5.623786,278,1,1000.087
windows,worker-message-latency,interpreter,baseline,1,worker-message-roundtrip,1,21.9851543,13.4246,9.3785682,46,1,1011.3171
windows,worker-message-latency,interpreter,baseline,1,worker-message-roundtrip,2,26.8355816,11.4668,12.3305452,38,1,1019.7521
windows,worker-message-latency,interpreter,baseline,1,worker-message-roundtrip,4,31.4461062,12.9868,17.2928442,32,1,1006.2754
windows,worker-message-latency,interpreter,baseline,2,worker-message-roundtrip,1,24.4740268,4.1066,9.2496942,41,1,1003.4351
windows,worker-message-latency,interpreter,baseline,2,worker-message-roundtrip,2,20.9291292,11.2787,8.2039852,48,1,1004.5982
windows,worker-message-latency,interpreter,baseline,2,worker-message-roundtrip,4,26.4000579,13.6675,8.6690774,38,1,1003.2022
windows,worker-message-latency,interpreter,baseline,3,worker-message-roundtrip,1,22.9338318,12.1818,8.4174904,44,1,1009.0886
windows,worker-message-latency,interpreter,baseline,3,worker-message-roundtrip,2,20.155394,6.7929,6.8340628,50,1,1007.7697
windows,worker-message-latency,interpreter,baseline,3,worker-message-roundtrip,4,23.1615682,3.3493,9.9475524,44,1,1019.109
windows,worker-message-latency,interpreter,baseline,4,worker-message-roundtrip,1,23.4416116,6.9534,8.863826,43,1,1007.9893
windows,worker-message-latency,interpreter,baseline,4,worker-message-roundtrip,2,27.3057459,7.9172,13.828608,37,1,1010.3126
windows,worker-message-latency,interpreter,baseline,4,worker-message-roundtrip,4,33.6204433,12.5313,23.3114342,30,1,1008.6133
windows,worker-message-latency,interpreter,baseline,5,worker-message-roundtrip,1,27.0054684,8.6062,17.3993669,38,1,1026.2078
windows,worker-message-latency,interpreter,baseline,5,worker-message-roundtrip,2,23.8686262,10.4144,8.9266693,42,1,1002.4823
windows,worker-message-latency,interpreter,baseline,5,worker-message-roundtrip,4,22.3123267,8.8178,13.6918413,45,1,1004.0547
windows,worker-message-latency,interpreter,candidate,1,worker-message-roundtrip,1,21.3398333,0.3268,12.8209913,48,1,1024.312
windows,worker-message-latency,interpreter,candidate,1,worker-message-roundtrip,2,19.9736098,0.476,17.0507811,51,1,1018.6541
windows,worker-message-latency,interpreter,candidate,1,worker-message-roundtrip,4,21.0717653,0.3793,17.5028974,49,1,1032.5165
windows,worker-message-latency,interpreter,candidate,2,worker-message-roundtrip,1,17.9393821,7.6759,6.3306121,56,1,1004.6054
windows,worker-message-latency,interpreter,candidate,2,worker-message-roundtrip,2,25.7628128,0.4886,34.1549111,39,1,1004.7497
windows,worker-message-latency,interpreter,candidate,2,worker-message-roundtrip,4,32.7816844,0.473,23.1577129,32,1,1049.0139
windows,worker-message-latency,interpreter,candidate,3,worker-message-roundtrip,1,27.2470432,0.3597,22.1864823,37,1,1008.1406
windows,worker-message-latency,interpreter,candidate,3,worker-message-roundtrip,2,24.8994878,0.4677,17.3481548,41,1,1020.879
